"Postcode","Age Group","Number of People"
3031,"20_24",1537
3031,"25_34",4858
3031,"35_44",3131
3031,"45_54",2060
3031,"55_64",1591
3031,"65_74",936
3031,"75_84",535
3032,"0_4",1867
3032,"5_14",2806
3032,"15_19",1409
3032,"20_24",2681
3032,"25_34",6672
3032,"35_44",4576
3032,"45_54",3766
3032,"55_64",2926
3032,"65_74",1608
3032,"75_84",780
3033,"0_4",831
3033,"5_14",1670
3033,"15_19",784
3033,"20_24",777
3033,"25_34",1660
3033,"35_44",1950
3033,"45_54",1975
3033,"55_64",1485
3033,"65_74",1749
3033,"75_84",1237
3034,"0_4",636
3034,"5_14",1146
3034,"15_19",551
3034,"20_24",628
3034,"25_34",1433
3034,"35_44",1524
3034,"45_54",1448
3034,"55_64",1300
3034,"65_74",1428
3034,"75_84",1142
3036,"0_4",243
3036,"5_14",757
3036,"15_19",422
3036,"20_24",368
3036,"25_34",519
3036,"35_44",666
3036,"45_54",908
3036,"55_64",800
3036,"65_74",724
3036,"75_84",339
3037,"0_4",3617
3037,"5_14",8244
3037,"15_19",3814
3037,"20_24",3596
3037,"25_34",7182
3037,"35_44",8601
3037,"45_54",7277
3037,"55_64",4709
3037,"65_74",2547
3037,"75_84",1089
3038,"0_4",1218
3038,"5_14",3143
3038,"15_19",1999
3038,"20_24",2222
3038,"25_34",3217
3038,"35_44",3099
3038,"45_54",4400
3038,"55_64",4207
3038,"65_74",2399
3038,"75_84",1030
3039,"0_4",797
3039,"5_14",1472
3039,"15_19",701
3039,"20_24",1057
3039,"25_34",2473
3039,"35_44",2143
3039,"45_54",1930
3039,"55_64",1566
3039,"65_74",1028
3039,"75_84",691
3040,"0_4",1251
3040,"5_14",3028
3040,"15_19",1719
3040,"20_24",1872
3040,"25_34",4135
3040,"35_44",3449
3040,"45_54",3832
3040,"55_64",3116
3040,"65_74",1783
3040,"75_84",1073
3041,"0_4",613
3041,"5_14",1668
3041,"15_19",817
3041,"20_24",830
3041,"25_34",1506
