"Postcode","Age Group","Number of People"
3149,"0_4",1612
3149,"5_14",4097
3149,"15_19",2221
3149,"20_24",2439
3149,"25_34",4012
3149,"35_44",4249
3149,"45_54",4880
3149,"55_64",3665
3149,"65_74",2889
3149,"75_84",2520
3150,"0_4",2583
3150,"5_14",7249
3150,"15_19",4307
3150,"20_24",4200
3150,"25_34",6383
3150,"35_44",7442
3150,"45_54",8362
3150,"55_64",7049
3150,"65_74",6358
3150,"75_84",4312
3151,"0_4",490
3151,"5_14",973
3151,"15_19",573
3151,"20_24",971
3151,"25_34",1419
3151,"35_44",1259
3151,"45_54",1262
3151,"55_64",1092
3151,"65_74",1069
3151,"75_84",889
3152,"0_4",1640
3152,"5_14",3589
3152,"15_19",2106
3152,"20_24",2243
3152,"25_34",4120
3152,"35_44",4041
3152,"45_54",4359
3152,"55_64",4880
3152,"65_74",3249
3152,"75_84",1711
3153,"0_4",1441
3153,"5_14",2192
3153,"15_19",1023
3153,"20_24",1258
3153,"25_34",3483
3153,"35_44",2924
3153,"45_54",2620
3153,"55_64",2252
3153,"65_74",1837
3153,"75_84",973
3154,"0_4",296
3154,"5_14",573
3154,"15_19",274
3154,"20_24",224
3154,"25_34",541
3154,"35_44",646
3154,"45_54",660
3154,"55_64",558
3154,"65_74",373
3154,"75_84",159
3155,"0_4",1494
3155,"5_14",2305
3155,"15_19",1080
3155,"20_24",1336
3155,"25_34",3556
3155,"35_44",3137
3155,"45_54",2774
3155,"55_64",2718
3155,"65_74",2170
3155,"75_84",1199
3156,"0_4",2243
3156,"5_14",4568
3156,"15_19",2485
3156,"20_24",2453
3156,"25_34",4700
3156,"35_44",5161
3156,"45_54",5719
3156,"55_64",4734
3156,"65_74",3222
3156,"75_84",1540
3158,"0_4",400
3158,"5_14",868
3158,"15_19",444
3158,"20_24",432
3158,"25_34",718
3158,"35_44",1015
3158,"45_54",1098
3158,"55_64",957
3158,"65_74",523
3158,"75_84",149
3159,"0_4",151
3159,"5_14",386
3159,"15_19",191
3159,"20_24",163
3159,"25_34",264
3159,"35_44",385
3159,"45_54",438
3159,"55_64",395
3159,"65_74",204
3159,"75_84",62
3160,"0_4",556
3160,"5_14",1230
3160,"15_19",608
3160,"20_24",508
3160,"25_34",1002
3160,"35_44",1361
3160,"45_54",1411
3160,"55_64",1304
3160,"65_74",722
3160,"75_84",249
3161,"0_4",848
3161,"5_14",1670
3161,"15_19",746
3161,"20_24",1112
3161,"25_34",2780
3161,"35_44",1910
3161,"45_54",1662
3161,"55_64",1752
3161,"65_74",1370
3161,"75_84",756
3162,"0_4",1010
3162,"5_14",2053
3162,"15_19",909
3162,"20_24",1130
3162,"25_34",2227
3162,"35_44",2329
3162,"45_54",2392
3162,"55_64",2020
3162,"65_74",1751
3162,"75_84",935
3163,"0_4",1954
3163,"5_14",2975
3163,"15_19",1402
3163,"20_24",3037
3163,"25_34",7145
3163,"35_44",4854
3163,"45_54",3777
3163,"55_64",3109
3163,"65_74",2053
3163,"75_84",1310
3165,"0_4",1867
3165,"5_14",3919
3165,"15_19",1630
3165,"20_24",1434
3165,"25_34",2954
3165,"35_44",4332
3165,"45_54",4166
3165,"55_64",2989
3165,"65_74",2037
3165,"75_84",1491
3166,"0_4",1423
3166,"5_14",2506
3166,"15_19",1312
3166,"20_24",2155
3166,"25_34",4199
3166,"35_44",3520
3166,"45_54",3105
3166,"55_64",2182
3166,"65_74",1526
3166,"75_84",1195
3167,"0_4",514
3167,"5_14",999
3167,"15_19",507
3167,"20_24",617
3167,"25_34",1310
3167,"35_44",1305
3167,"45_54",1252
3167,"55_64",1120
3167,"65_74",866
3167,"75_84",549
3168,"0_4",999
3168,"5_14",1078
3168,"15_19",1514
3168,"20_24",4762
3168,"25_34",5281
3168,"35_44",2084
3168,"45_54",1355
3168,"55_64",1070
3168,"65_74",794
3168,"75_84",757
3169,"0_4",1192
3169,"5_14",1852
3169,"15_19",1033
3169,"20_24",1726
3169,"25_34",3823
3169,"35_44",2551
3169,"45_54",2343
3169,"55_64",2117
3169,"65_74",1837
3169,"75_84",1213
3170,"0_4",1198
3170,"5_14",2140
3170,"15_19",1012
3170,"20_24",1259
3170,"25_34",2863
3170,"35_44",2762
3170,"45_54",2415
3170,"55_64",2111
3170,"65_74",1961
3170,"75_84",1149
3171,"0_4",1371
3171,"5_14",2106
3171,"15_19",1330
3171,"20_24",2056
3171,"25_34",4144
3171,"35_44",2653
3171,"45_54",2537
3171,"55_64",2203
3171,"65_74",1556
3171,"75_84",1159
3172,"0_4",1322
3172,"5_14",2837
3172,"15_19",1503
3172,"20_24",1644
3172,"25_34",2971
3172,"35_44",2946
3172,"45_54",3177
3172,"55_64",2859
3172,"65_74",2265
3172,"75_84",1133
3173,"0_4",1750
3173,"5_14",3359
3173,"15_19",1735
3173,"20_24",1799
3173,"25_34",3877
3173,"35_44",3820
3173,"45_54",3320
3173,"55_64",2820
3173,"65_74",2064
3173,"75_84",869
3174,"0_4",2705
3174,"5_14",3971
3174,"15_19",2089
3174,"20_24",2936
3174,"25_34",7329
3174,"35_44",5137
3174,"45_54",4412
3174,"55_64",4076
3174,"65_74",3155
3174,"75_84",1878
3175,"0_4",3839
3175,"5_14",6022
3175,"15_19",2988
3175,"20_24",4236
3175,"25_34",9773
3175,"35_44",7503
3175,"45_54",5896
3175,"55_64",5298
3175,"65_74",4059
3175,"75_84",2582
3177,"0_4",823
3177,"5_14",1361
3177,"15_19",663
3177,"20_24",866
3177,"25_34",1992
3177,"35_44",1569
3177,"45_54",1240
3177,"55_64",1134
3177,"65_74",864
3177,"75_84",589
3178,"0_4",1865
3178,"5_14",4370
3178,"15_19",2639
3178,"20_24",2502
3178,"25_34",3910
3178,"35_44",4509
3178,"45_54",5537
3178,"55_64",4408
3178,"65_74",2298
3178,"75_84",1254
3179,"0_4",324
3179,"5_14",813
3179,"15_19",413
3179,"20_24",417
3179,"25_34",741
3179,"35_44",891
3179,"45_54",891
3179,"55_64",763
3179,"65_74",537
3179,"75_84",190
3180,"0_4",457
3180,"5_14",858
3180,"15_19",498
3180,"20_24",461
3180,"25_34",947
3180,"35_44",984
3180,"45_54",1024
3180,"55_64",898
3180,"65_74",827
3180,"75_84",418
3181,"0_4",757
3181,"5_14",912
3181,"15_19",529
3181,"20_24",1789
3181,"25_34",6957
3181,"35_44",3161
3181,"45_54",1985
3181,"55_64",1567
3181,"65_74",1126
3181,"75_84",921
3182,"0_4",766
3182,"5_14",1001
3182,"15_19",516
3182,"20_24",1887
3182,"25_34",7691
3182,"35_44",4160
3182,"45_54",3015
3182,"55_64",2255
3182,"65_74",1340
3182,"75_84",534
3183,"0_4",1193
3183,"5_14",1738
3183,"15_19",705
3183,"20_24",1350
3183,"25_34",5121
3183,"35_44",3174
3183,"45_54",2037
3183,"55_64",1482
3183,"65_74",968
3183,"75_84",471
3184,"0_4",842
3184,"5_14",1303
3184,"15_19",470
3184,"20_24",852
3184,"25_34",3984
3184,"35_44",3053
3184,"45_54",2272
3184,"55_64",1527
3184,"65_74",780
3184,"75_84",330
3185,"0_4",810
3185,"5_14",1598
3185,"15_19",632
3185,"20_24",717
3185,"25_34",2389
3185,"35_44",1945
3185,"45_54",1718
3185,"55_64",1357
3185,"65_74",931
3185,"75_84",510
3186,"0_4",1082
3186,"5_14",2954
3186,"15_19",1492
3186,"20_24",1200
3186,"25_34",1996
3186,"35_44",2686
3186,"45_54",3662
3186,"55_64",3158
3186,"65_74",2628
3186,"75_84",1443
3187,"0_4",800
3187,"5_14",2386
3187,"15_19",1006
3187,"20_24",766
3187,"25_34",1108
3187,"35_44",2014
3187,"45_54",2568
3187,"55_64",1974
3187,"65_74",1460
3187,"75_84",1044
3188,"0_4",1040
3188,"5_14",2566
3188,"15_19",1240
3188,"20_24",928
3188,"25_34",1631
3188,"35_44",2488
3188,"45_54",3117
3188,"55_64",2230
3188,"65_74",1580
3188,"75_84",849
3189,"0_4",403
3189,"5_14",647
3189,"15_19",280
3189,"20_24",378
3189,"25_34",807
3189,"35_44",932
3189,"45_54",793
3189,"55_64",633
3189,"65_74",485
3189,"75_84",364
3190,"0_4",787
3190,"5_14",1270
3190,"15_19",544
3190,"20_24",482
3190,"25_34",1351
3190,"35_44",1777
3190,"45_54",1593
3190,"55_64",1096
3190,"65_74",768
3190,"75_84",480
3191,"0_4",492
3191,"5_14",1315
3191,"15_19",612
3191,"20_24",489
3191,"25_34",934
3191,"35_44",1307
3191,"45_54",1626
3191,"55_64",1318
3191,"65_74",1035
3191,"75_84",552
3192,"0_4",1395
3192,"5_14",2621
3192,"15_19",1136
3192,"20_24",1176
3192,"25_34",2889
3192,"35_44",3370
3192,"45_54",3053
3192,"55_64",2407
3192,"65_74",1948
3192,"75_84",1394
3193,"0_4",815
3193,"5_14",2810
3193,"15_19",1258
3193,"20_24",1029
3193,"25_34",1128
3193,"35_44",2231
3193,"45_54",3277
3193,"55_64",2846
3193,"65_74",2240
3193,"75_84",1172
3194,"0_4",690
3194,"5_14",1412
3194,"15_19",676
3194,"20_24",742
3194,"25_34",1766
3194,"35_44",1905
3194,"45_54",1884
3194,"55_64",1482
3194,"65_74",1199
3194,"75_84",771
3195,"0_4",2119
3195,"5_14",4980
3195,"15_19",2298
3195,"20_24",2000
3195,"25_34",3808
3195,"35_44",5501
3195,"45_54",5869
3195,"55_64",4198
3195,"65_74",2675
3195,"75_84",1645
3196,"0_4",1759
3196,"5_14",2759
3196,"15_19",1103
3196,"20_24",1230
3196,"25_34",3524
3196,"35_44",4093
3196,"45_54",3435
3196,"55_64",2913
3196,"65_74",2361
3196,"75_84",1403
3197,"0_4",647
3197,"5_14",1282
3197,"15_19",643
3197,"20_24",587
3197,"25_34",1281
3197,"35_44",1637
3197,"45_54",1756
3197,"55_64",1638
3197,"65_74",1200
3197,"75_84",610
3198,"0_4",1082
3198,"5_14",1639
3198,"15_19",726
3198,"20_24",883
3198,"25_34",2413
3198,"35_44",2544
3198,"45_54",2211
3198,"55_64",2099
3198,"65_74",1626
3198,"75_84",881
3199,"0_4",3323
3199,"5_14",6051
3199,"15_19",3174
3199,"20_24",3399
3199,"25_34",7140
3199,"35_44",7023
3199,"45_54",7262
3199,"55_64",6848
3199,"65_74",5511
3199,"75_84",3107
3200,"0_4",387
3200,"5_14",678
3200,"15_19",278
3200,"20_24",414
3200,"25_34",811
3200,"35_44",650
3200,"45_54",791
3200,"55_64",655
3200,"65_74",507
3200,"75_84",391
3201,"0_4",1558
3201,"5_14",2616
3201,"15_19",1264
3201,"20_24",1358
3201,"25_34",3197
3201,"35_44",3036
3201,"45_54",2873
3201,"55_64",2247
3201,"65_74",1394
3201,"75_84",738
3202,"0_4",178
3202,"5_14",486
3202,"15_19",165
3202,"20_24",179
3202,"25_34",286
3202,"35_44",501
3202,"45_54",461
3202,"55_64",274
3202,"65_74",202
3202,"75_84",111
3204,"0_4",1762
3204,"5_14",4293
3204,"15_19",2092
3204,"20_24",1969
3204,"25_34",3883
3204,"35_44",4366
3204,"45_54",4873
3204,"55_64",3429
3204,"65_74",2064
3204,"75_84",1191
3205,"0_4",566
3205,"5_14",702
3205,"15_19",335
3205,"20_24",725
3205,"25_34",2670
3205,"35_44",1909
3205,"45_54",1430
3205,"55_64",1103
3205,"65_74",807
3205,"75_84",449
3206,"0_4",602
3206,"5_14",1204
3206,"15_19",402
3206,"20_24",390
3206,"25_34",1273
3206,"35_44",1635
3206,"45_54",1676
3206,"55_64",1279
3206,"65_74",1119
3206,"75_84",570
3207,"0_4",967
3207,"5_14",1243
3207,"15_19",456
3207,"20_24",656
3207,"25_34",3073
3207,"35_44",3094
3207,"45_54",2410
3207,"55_64",1979
3207,"65_74",1445
3207,"75_84",659
3211,"0_4",69
3211,"5_14",174
3211,"15_19",104
3211,"20_24",88
3211,"25_34",111
3211,"35_44",165
3211,"45_54",234
3211,"55_64",199
3211,"65_74",111
3211,"75_84",43
3212,"0_4",1125
3212,"5_14",2193
3212,"15_19",1061
3212,"20_24",1039
3212,"25_34",2389
3212,"35_44",2562
3212,"45_54",2322
3212,"55_64",1820
3212,"65_74",1312
3212,"75_84",585
3213,"0_4",222
3213,"5_14",610
3213,"15_19",336
3213,"20_24",270
3213,"25_34",359
3213,"35_44",522
3213,"45_54",682
3213,"55_64",530
3213,"65_74",301
3213,"75_84",165
3214,"0_4",1484
3214,"5_14",3153
3214,"15_19",2001
3214,"20_24",1831
3214,"25_34",3071
3214,"35_44",2731
3214,"45_54",3031
3214,"55_64",2891
3214,"65_74",2174
3214,"75_84",1190
3215,"0_4",1198
3215,"5_14",2145
3215,"15_19",1097
3215,"20_24",1330
3215,"25_34",2878
3215,"35_44",2469
3215,"45_54",2532
3215,"55_64",2435
3215,"65_74",2180
3215,"75_84",1492
3216,"0_4",3439
3216,"5_14",6696
3216,"15_19",3746
3216,"20_24",4584
3216,"25_34",7132
3216,"35_44",7057
3216,"45_54",6878
3216,"55_64",6303
3216,"65_74",5265
3216,"75_84",3263
3217,"0_4",708
3217,"5_14",882
3217,"15_19",339
3217,"20_24",516
3217,"25_34",1474
3217,"35_44",995
3217,"45_54",641
3217,"55_64",510
3217,"65_74",373
3217,"75_84",117
3218,"0_4",934
3218,"5_14",1453
3218,"15_19",630
3218,"20_24",1002
3218,"25_34",2262
3218,"35_44",1945
3218,"45_54",1813
3218,"55_64",1523
3218,"65_74",991
3218,"75_84",605
3219,"0_4",1083
3219,"5_14",2017
3219,"15_19",1063
3219,"20_24",1476
3219,"25_34",2506
3219,"35_44",2288
3219,"45_54",2795
3219,"55_64",2619
3219,"65_74",1978
3219,"75_84",1273
3220,"0_4",887
3220,"5_14",1793
3220,"15_19",1043
3220,"20_24",1147
3220,"25_34",2248
3220,"35_44",2033
3220,"45_54",2221
3220,"55_64",2219
3220,"65_74",1482
3220,"75_84",812
3221,"0_4",58
3221,"5_14",111
3221,"15_19",53
3221,"20_24",40
3221,"25_34",54
3221,"35_44",95
3221,"45_54",123
3221,"55_64",104
3221,"65_74",82
3221,"75_84",30
3222,"0_4",782
3222,"5_14",1925
3222,"15_19",917
3222,"20_24",709
3222,"25_34",1348
3222,"35_44",1672
3222,"45_54",1961
3222,"55_64",2201
3222,"65_74",1867
3222,"75_84",1140
3223,"0_4",276
3223,"5_14",625
3223,"15_19",295
3223,"20_24",232
3223,"25_34",409
3223,"35_44",617
3223,"45_54",900
3223,"55_64",1390
3223,"65_74",1618
3223,"75_84",728
3224,"0_4",995
3224,"5_14",1703
3224,"15_19",908
3224,"20_24",740
3224,"25_34",1871
3224,"35_44",1699
3224,"45_54",1762
3224,"55_64",1668
3224,"65_74",1630
3224,"75_84",888
3225,"0_4",130
3225,"5_14",383
3225,"15_19",181
3225,"20_24",102
3225,"25_34",201
3225,"35_44",320
3225,"45_54",453
3225,"55_64",668
3225,"65_74",857
3225,"75_84",530
3226,"0_4",896
3226,"5_14",2003
3226,"15_19",760
3226,"20_24",567
3226,"25_34",1353
3226,"35_44",1991
3226,"45_54",1844
3226,"55_64",2015
3226,"65_74",1679
3226,"75_84",708
3227,"0_4",299
3227,"5_14",786
3227,"15_19",257
3227,"20_24",171
3227,"25_34",310
3227,"35_44",678
3227,"45_54",653
3227,"55_64",759
3227,"65_74",600
3227,"75_84",227
3228,"0_4",1332
3228,"5_14",2775
3228,"15_19",1022
3228,"20_24",701
3228,"25_34",1993
3228,"35_44",2805
3228,"45_54",2510
3228,"55_64",2149
3228,"65_74",1681
3228,"75_84",708
3230,"0_4",110
3230,"5_14",272
3230,"15_19",114
3230,"20_24",81
3230,"25_34",212
3230,"35_44",258
3230,"45_54",362
3230,"55_64",417
3230,"65_74",425
3230,"75_84",190
3231,"0_4",37
3231,"5_14",143
3231,"15_19",68
3231,"20_24",46
3231,"25_34",66
3231,"35_44",115
3231,"45_54",206
3231,"55_64",270
3231,"65_74",188
3231,"75_84",90
3232,"0_4",52
3232,"5_14",93
3232,"15_19",35
3232,"20_24",37
3232,"25_34",130
3232,"35_44",114
3232,"45_54",117
3232,"55_64",215
3232,"65_74",175
3232,"75_84",93
3233,"0_4",74
3233,"5_14",181
3233,"15_19",80
3233,"20_24",82
3233,"25_34",195
3233,"35_44",199
3233,"45_54",262
3233,"55_64",413
3233,"65_74",341
3233,"75_84",156
3234,"0_4",9
3234,"5_14",19
3234,"15_19",0
3234,"20_24",4
3234,"25_34",19
3234,"35_44",20
3234,"45_54",24
3234,"55_64",51
3234,"65_74",30
3234,"75_84",0
3235,"0_4",13
3235,"5_14",63
3235,"15_19",16
3235,"20_24",21
3235,"25_34",24
3235,"35_44",67
3235,"45_54",57
3235,"55_64",92
3235,"65_74",43
3235,"75_84",7
3236,"0_4",5
3236,"5_14",21
3236,"15_19",12
3236,"20_24",11
3236,"25_34",11
3236,"35_44",19
3236,"45_54",44
3236,"55_64",61
3236,"65_74",32
3236,"75_84",10
3237,"0_4",6
3237,"5_14",14
3237,"15_19",10
3237,"20_24",12
3237,"25_34",14
3237,"35_44",25
3237,"45_54",34
3237,"55_64",52
3237,"65_74",36
3237,"75_84",10
3238,"0_4",3
3238,"5_14",24
3238,"15_19",12
3238,"20_24",3
3238,"25_34",9
3238,"35_44",26
3238,"45_54",53
3238,"55_64",40
3238,"65_74",31
3238,"75_84",19
3239,"0_4",16
3239,"5_14",54
3239,"15_19",28
3239,"20_24",23
3239,"25_34",34
3239,"35_44",42
3239,"45_54",75
3239,"55_64",69
3239,"65_74",60
3239,"75_84",18
3240,"0_4",110
3240,"5_14",322
3240,"15_19",161
3240,"20_24",96
3240,"25_34",155
3240,"35_44",271
3240,"45_54",353
3240,"55_64",302
3240,"65_74",181
3240,"75_84",68
3241,"0_4",133
3241,"5_14",311
3241,"15_19",147
3241,"20_24",122
3241,"25_34",231
3241,"35_44",287
3241,"45_54",367
3241,"55_64",402
3241,"65_74",302
3241,"75_84",171
3242,"0_4",61
3242,"5_14",101
3242,"15_19",41
3242,"20_24",32
3242,"25_34",84
3242,"35_44",99
3242,"45_54",115
3242,"55_64",116
3242,"65_74",126
3242,"75_84",47
3243,"0_4",13
3243,"5_14",56
3243,"15_19",22
3243,"20_24",11
3243,"25_34",25
3243,"35_44",41
3243,"45_54",53
3243,"55_64",66
3243,"65_74",55
3243,"75_84",10
3249,"0_4",158
3249,"5_14",461
3249,"15_19",198
3249,"20_24",110
3249,"25_34",259
3249,"35_44",359
3249,"45_54",503
3249,"55_64",537
3249,"65_74",416
3249,"75_84",143
3250,"0_4",744
3250,"5_14",1470
3250,"15_19",713
3250,"20_24",745
3250,"25_34",1432
3250,"35_44",1315
3250,"45_54",1515
3250,"55_64",1606
3250,"65_74",1318
3250,"75_84",914
3251,"0_4",28
3251,"5_14",61
3251,"15_19",34
3251,"20_24",28
3251,"25_34",49
3251,"35_44",46
3251,"45_54",83
3251,"55_64",76
3251,"65_74",77
3251,"75_84",38
3254,"0_4",24
3254,"5_14",52
3254,"15_19",17
3254,"20_24",18
3254,"25_34",35
3254,"35_44",37
3254,"45_54",47
3254,"55_64",33
3254,"65_74",25
3254,"75_84",9
3260,"0_4",248
3260,"5_14",571
3260,"15_19",243
3260,"20_24",218
3260,"25_34",394
3260,"35_44",502
3260,"45_54",629
3260,"55_64",700
3260,"65_74",721
3260,"75_84",389
3264,"0_4",120
3264,"5_14",290
3264,"15_19",141
3264,"20_24",118
3264,"25_34",194
3264,"35_44",239
3264,"45_54",286
3264,"55_64",331
3264,"65_74",271
3264,"75_84",211
3265,"0_4",143
3265,"5_14",422
3265,"15_19",217
3265,"20_24",115
3265,"25_34",258
3265,"35_44",290
3265,"45_54",435
3265,"55_64",408
3265,"65_74",218
3265,"75_84",91
3266,"0_4",178
3266,"5_14",396
3266,"15_19",221
3266,"20_24",153
3266,"25_34",281
3266,"35_44",315
3266,"45_54",474
3266,"55_64",383
3266,"65_74",337
3266,"75_84",235
3267,"0_4",10
3267,"5_14",42
3267,"15_19",14
3267,"20_24",13
3267,"25_34",28
3267,"35_44",21
3267,"45_54",49
3267,"55_64",41
3267,"65_74",18
3267,"75_84",9
3268,"0_4",160
3268,"5_14",341
3268,"15_19",187
3268,"20_24",121
3268,"25_34",256
3268,"35_44",281
3268,"45_54",387
3268,"55_64",399
3268,"65_74",256
3268,"75_84",151
3269,"0_4",60
3269,"5_14",116
3269,"15_19",42
3269,"20_24",41
3269,"25_34",85
3269,"35_44",81
3269,"45_54",109
3269,"55_64",116
3269,"65_74",55
3269,"75_84",30
3270,"0_4",13
3270,"5_14",31
3270,"15_19",7
3270,"20_24",7
3270,"25_34",26
3270,"35_44",20
3270,"45_54",33
3270,"55_64",50
3270,"65_74",39
3270,"75_84",13
3271,"0_4",3
3271,"5_14",29
3271,"15_19",11
3271,"20_24",15
3271,"25_34",15
3271,"35_44",16
3271,"45_54",32
3271,"55_64",47
3271,"65_74",20
3271,"75_84",4
3272,"0_4",85
3272,"5_14",203
3272,"15_19",61
3272,"20_24",72
3272,"25_34",122
3272,"35_44",152
3272,"45_54",194
3272,"55_64",234
3272,"65_74",215
3272,"75_84",138
3273,"0_4",0
3273,"5_14",25
3273,"15_19",11
3273,"20_24",4
3273,"25_34",8
3273,"35_44",9
3273,"45_54",23
3273,"55_64",27
3273,"65_74",19
3273,"75_84",6
3274,"0_4",18
3274,"5_14",36
3274,"15_19",13
3274,"20_24",10
3274,"25_34",25
3274,"35_44",21
3274,"45_54",35
3274,"55_64",39
3274,"65_74",27
3274,"75_84",8
3275,"0_4",28
3275,"5_14",60
3275,"15_19",45
3275,"20_24",29
3275,"25_34",43
3275,"35_44",59
3275,"45_54",75
3275,"55_64",50
3275,"65_74",28
3275,"75_84",8
3276,"0_4",20
3276,"5_14",85
3276,"15_19",36
3276,"20_24",17
3276,"25_34",33
3276,"35_44",53
3276,"45_54",93
3276,"55_64",79
3276,"65_74",43
3276,"75_84",23
3277,"0_4",154
3277,"5_14",263
3277,"15_19",125
3277,"20_24",119
3277,"25_34",213
3277,"35_44",241
3277,"45_54",285
3277,"55_64",257
3277,"65_74",166
3277,"75_84",67
3278,"0_4",20
3278,"5_14",48
3278,"15_19",14
3278,"20_24",16
3278,"25_34",30
3278,"35_44",49
3278,"45_54",37
3278,"55_64",43
3278,"65_74",32
3278,"75_84",10
3279,"0_4",23
3279,"5_14",54
3279,"15_19",33
3279,"20_24",10
3279,"25_34",26
3279,"35_44",37
3279,"45_54",47
3279,"55_64",27
3279,"65_74",22
3279,"75_84",12
3280,"0_4",1827
3280,"5_14",3811
3280,"15_19",2088
3280,"20_24",2113
3280,"25_34",3881
3280,"35_44",3637
3280,"45_54",4129
3280,"55_64",3994
3280,"65_74",3203
3280,"75_84",1936
3281,"0_4",102
3281,"5_14",293
3281,"15_19",134
3281,"20_24",77
3281,"25_34",141
3281,"35_44",253
3281,"45_54",267
3281,"55_64",228
3281,"65_74",152
3281,"75_84",37
3282,"0_4",159
3282,"5_14",330
3282,"15_19",143
3282,"20_24",114
3282,"25_34",263
3282,"35_44",321
3282,"45_54",338
3282,"55_64",322
3282,"65_74",234
3282,"75_84",108
3283,"0_4",68
3283,"5_14",237
3283,"15_19",88
3283,"20_24",66
3283,"25_34",100
3283,"35_44",167
3283,"45_54",233
3283,"55_64",229
3283,"65_74",139
3283,"75_84",24
3284,"0_4",199
3284,"5_14",403
3284,"15_19",143
3284,"20_24",86
3284,"25_34",297
3284,"35_44",404
3284,"45_54",394
3284,"55_64",547
3284,"65_74",518
3284,"75_84",294
3285,"0_4",51
3285,"5_14",156
3285,"15_19",79
3285,"20_24",44
3285,"25_34",63
3285,"35_44",163
3285,"45_54",214
3285,"55_64",208
3285,"65_74",170
3285,"75_84",43
3286,"0_4",20
3286,"5_14",92
3286,"15_19",28
3286,"20_24",14
3286,"25_34",40
3286,"35_44",53
3286,"45_54",97
3286,"55_64",85
3286,"65_74",73
3286,"75_84",39
3287,"0_4",23
3287,"5_14",76
3287,"15_19",25
3287,"20_24",24
3287,"25_34",45
3287,"35_44",59
3287,"45_54",85
3287,"55_64",48
3287,"65_74",33
3287,"75_84",21
3289,"0_4",40
3289,"5_14",100
3289,"15_19",40
3289,"20_24",28
3289,"25_34",60
3289,"35_44",66
3289,"45_54",106
3289,"55_64",141
3289,"65_74",99
3289,"75_84",46
3292,"0_4",5
3292,"5_14",7
3292,"15_19",9
3292,"20_24",3
3292,"25_34",10
3292,"35_44",19
3292,"45_54",18
3292,"55_64",37
3292,"65_74",59
3292,"75_84",16
3293,"0_4",20
3293,"5_14",41
3293,"15_19",11
3293,"20_24",8
3293,"25_34",16
3293,"35_44",48
3293,"45_54",41
3293,"55_64",61
3293,"65_74",29
3293,"75_84",28
3294,"0_4",61
3294,"5_14",125
3294,"15_19",49
3294,"20_24",29
3294,"25_34",72
3294,"35_44",127
3294,"45_54",142
3294,"55_64",155
3294,"65_74",123
3294,"75_84",46
3300,"0_4",538
3300,"5_14",1119
3300,"15_19",678
3300,"20_24",565
3300,"25_34",999
3300,"35_44",1029
3300,"45_54",1296
3300,"55_64",1412
3300,"65_74",1266
3300,"75_84",777
3301,"0_4",63
3301,"5_14",196
3301,"15_19",61
3301,"20_24",40
3301,"25_34",86
3301,"35_44",134
3301,"45_54",209
3301,"55_64",195
3301,"65_74",150
3301,"75_84",49
3302,"0_4",17
3302,"5_14",60
3302,"15_19",21
3302,"20_24",8
3302,"25_34",30
3302,"35_44",38
3302,"45_54",72
3302,"55_64",60
3302,"65_74",38
3302,"75_84",21
3303,"0_4",19
3303,"5_14",53
3303,"15_19",23
3303,"20_24",13
3303,"25_34",32
3303,"35_44",47
3303,"45_54",64
3303,"55_64",38
3303,"65_74",32
3303,"75_84",14
3304,"0_4",124
3304,"5_14",317
3304,"15_19",143
3304,"20_24",124
3304,"25_34",233
3304,"35_44",287
3304,"45_54",411
3304,"55_64",480
3304,"65_74",379
3304,"75_84",161
3305,"0_4",689
3305,"5_14",1461
3305,"15_19",819
3305,"20_24",649
3305,"25_34",1183
3305,"35_44",1471
3305,"45_54",1907
3305,"55_64",2034
3305,"65_74",1465
3305,"75_84",796
3309,"0_4",8
3309,"5_14",18
3309,"15_19",11
3309,"20_24",0
3309,"25_34",6
3309,"35_44",15
3309,"45_54",24
3309,"55_64",21
3309,"65_74",21
3309,"75_84",5
3310,"0_4",4
3310,"5_14",26
3310,"15_19",21
3310,"20_24",0
3310,"25_34",20
3310,"35_44",17
3310,"45_54",61
3310,"55_64",55
3310,"65_74",38
3310,"75_84",21
3311,"0_4",62
3311,"5_14",171
3311,"15_19",76
3311,"20_24",69
3311,"25_34",108
3311,"35_44",136
3311,"45_54",231
3311,"55_64",264
3311,"65_74",275
3311,"75_84",214
3312,"0_4",63
3312,"5_14",131
3312,"15_19",77
3312,"20_24",32
3312,"25_34",67
3312,"35_44",109
3312,"45_54",163
3312,"55_64",164
3312,"65_74",137
3312,"75_84",70
3314,"0_4",25
3314,"5_14",74
3314,"15_19",32
3314,"20_24",16
3314,"25_34",60
3314,"35_44",59
3314,"45_54",68
3314,"55_64",98
3314,"65_74",70
3314,"75_84",24
3315,"0_4",80
3315,"5_14",176
3315,"15_19",102
3315,"20_24",48
3315,"25_34",136
3315,"35_44",146
3315,"45_54",235
3315,"55_64",284
3315,"65_74",204
3315,"75_84",127
3317,"0_4",11
3317,"5_14",36
3317,"15_19",8
3317,"20_24",3
3317,"25_34",24
3317,"35_44",19
3317,"45_54",20
3317,"55_64",34
3317,"65_74",22
3317,"75_84",14
3318,"0_4",56
3318,"5_14",143
3318,"15_19",60
3318,"20_24",51
3318,"25_34",110
3318,"35_44",101
3318,"45_54",184
3318,"55_64",193
3318,"65_74",191
3318,"75_84",112
3319,"0_4",15
3319,"5_14",33
3319,"15_19",15
3319,"20_24",11
3319,"25_34",17
3319,"35_44",43
3319,"45_54",58
3319,"55_64",80
