"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","lon","lat"
"mint.98","18.02712","18.05522","18.02301","18.29370","18.28658","18.57869","18.15808","18.23380","18.12137","17.68087","17.94877","18.09589","18.19589","18.84986","18.20356","18.33863","18.28000","17.60820","18.24904","18.25710","17.24740","17.44711","18.02648","18.43616","18.57614","18.64113","18.80899","18.77647","18.51967","18.41500","18.92959","18.59229","19.16409","18.34040","19.05151","18.67863","18.45152","18.23579","19.23030","19.25178","18.77967","19.26000","19.02735","19.04337","21.31656","149.92","-37.57"
"mint.99","19.00490","19.13165","19.31504","19.21014","20.41863","20.74361","20.10667","20.28072","19.76814","18.88625","19.28402","19.19667","19.50056","20.45000","19.64594","19.74466","19.67694","18.88388","19.58895","19.43233","18.78055","18.53872","20.04438","19.96496","20.40932","20.30000","19.99588","20.19233","20.22782","19.88251","20.73123","20.04082","20.68297","20.28516","21.12088","20.33534","19.91923","20.25014","21.07730","20.90110","20.26571","20.52384","20.48991","21.32939","23.73597","148.47","-37.69"
"mint.100","18.05850","18.95574","19.56301","18.99781","19.95836","20.48497","19.83297","20.41945","19.47178","19.02486","19.38806","18.93802","19.59587","20.43388","19.56164","19.90466","19.77068","19.06967","19.86419","19.57973","19.09370","19.05519","20.28466","19.90466","20.43918","20.13060","19.86575","20.11315","20.30658","19.73251","20.68219","20.21096","20.53204","20.14274","20.85425","20.23753","19.65317","19.88087","20.54192","20.56082","20.08521","20.40738","20.82603","20.97527","24.17616","147.13","-38.12"
"mint.101","16.12533","16.62492","16.43380","16.08599","16.57603","16.89525","16.90000","17.04219","16.26219","16.15710","16.27890","15.99918","16.44959","17.39945","16.59315","16.76795","16.58247","15.81366","16.82192","16.63452","16.01479","16.05109","16.58767","16.54438","17.04845","16.88306","16.97088","16.72514","16.63747","16.34160","17.54027","16.49274","17.33699","16.81475","17.25671","16.91507","16.82157","16.70179","17.43699","17.77187","16.98512","17.33808","17.12720","17.42964","20.08462","146.42","-39.13"
"mint.102","18.30588","19.22186","19.05233","18.82849","19.87315","20.06311","20.13479","20.17397","19.13918","19.16831","19.48384","18.82767","19.26493","20.39208","19.65890","20.01945","19.71425","18.78169","19.70384","19.42849","18.65616","18.80738","19.99315","19.84411","20.24630","20.28224","19.72000","20.12438","19.88658","19.50628","20.63315","20.01068","20.99534","20.05874","20.79342","20.18274","20.02830","19.98197","20.73151","20.86055","20.35918","20.32541","20.87562","20.72219","23.77020","144.98","-37.83"
"mint.103","17.99216","19.10824","19.04493","18.50055","20.02740","20.36503","20.30493","20.48027","19.04712","19.23169","19.39753","18.87452","19.02384","20.10273","19.20795","19.76849","19.27699","18.38388","19.39425","19.39808","18.32219","18.51448","19.75907","19.48329","20.09587","20.11389","19.47555","20.00110","19.84738","19.29208","20.59342","19.95562","20.98548","20.11694","20.59699","20.08904","19.76519","20.08989","20.63205","20.83151","20.47940","20.27678","20.78489","20.84396","24.05364","144.76","-37.86"
"mint.104","16.67148","16.79809","16.83388","16.46329","17.04077","17.42767","17.63479","17.38466","16.72857","16.58852","16.63489","16.31425","16.85781","17.62240","17.03973","17.14000","16.59644","16.10959","17.12986","16.71135","15.68033","16.36918","16.80000","16.75028","17.19586","17.49066","17.44286","17.02137","16.95289","16.76071","17.79614","17.17243","17.91253","17.18274","17.61868","17.26411","17.36822","17.61154","17.86872","17.89041","17.29945","17.50874","17.56253","17.72465","19.96887","143.51","-38.86"
"mint.105","15.26863","16.18685","15.86247","15.92932","16.13863","16.18192","16.49178","16.13315","16.07205","16.09863","16.38493","15.86904","16.14849","17.08242","16.71452","16.49534","16.06740","15.82005","16.44274","16.11890","15.87671","15.75628","16.33978","16.01117","16.97671","16.97151","16.72225","16.40529","16.43945","15.99890","16.56088","16.10028","16.92143","16.49153","16.55220","16.80575","16.48466","16.79530","16.77863","17.14478","16.52590","17.02514","16.81099","16.91868","19.14600","146.79","-41.05"
"mint.106","16.13377","17.41011","17.49066","17.35726","17.83397","17.98743","18.19452","18.26712","17.61781","17.09729","17.53679","17.01547","17.52986","18.59454","17.98849","17.95452","17.69863","17.09945","17.80438","17.74356","17.05397","16.75574","18.03397","18.07288","18.24877","18.21233","17.91671","18.26164","18.12110","17.53470","18.08000","17.83544","18.74904","17.91093","18.02658","18.00685","17.68767","18.27131","18.19671","18.67473","18.00687","18.03825","18.24849","18.14683","21.25200","147.22","-41.55"
"mint.107","16.99443","17.67836","17.68000","17.25836","17.94725","17.93370","18.11370","18.03047","17.62384","17.56592","17.04411","17.16768","17.64795","18.47596","18.07644","18.08911","18.12444","17.30942","18.07250","17.45659","16.84572","16.33143","17.55782","17.95750","18.29308","18.07802","18.11453","18.03090","17.99780","17.40057","18.10226","17.80468","18.51071","17.99454","18.20438","18.73901","18.14246","18.57159","18.43315","18.39781","17.87260","18.32658","18.21429","18.35687","21.17533","148.35","-40.99"
"mint.108","14.46393","14.73104","15.08849","14.79562","15.12198","15.23552","15.59423","15.26301","14.77293","14.84727","14.78223","14.69183","14.92603","15.78644","15.61485","15.30388","14.82639","14.53544","15.57036","15.13609","14.47875","14.46099","14.79586","15.21507","15.75397","15.64617","15.60055","15.56527","15.36822","14.81885","15.77342","14.98400","15.87123","15.26612","15.23178","15.65671","15.39598","15.72022","15.83808","15.99487","15.42256","16.28440","16.08240","16.01044","18.34000","147.15","-43.49"
"mint.109","16.53889","16.61421","17.32164","17.10247","17.64521","17.75956","17.68082","17.63260","17.09068","17.06803","16.96438","16.89644","17.60411","18.15273","17.74438","17.74192","17.37589","16.58251","18.08904","17.54959","16.61589","16.65546","17.54027","17.53726","18.06000","18.30164","17.77616","18.05644","17.81205","17.30874","18.05781","17.42822","18.25342","17.86475","17.58164","18.19479","17.52055","18.09809","18.11342","18.25699","17.61291","18.22158","18.45989","18.19309","21.13600","147.33","-42.89"
"mint.110","16.39901","16.80000","17.31163","17.10994","17.77155","17.86354","17.63399","17.81994","17.11333","17.08564","17.23955","16.90693","17.24788","18.49027","17.98608","17.71621","17.24959","16.71589","17.86932","17.52802","16.58685","16.51476","17.33342","17.57472","17.77911","17.93571","17.55111","17.70274","17.68843","16.91284","17.60411","17.13918","17.87473","17.45929","17.21616","17.83836","17.13562","17.61339","17.84780","18.04187","17.34641","17.87186","17.96841","17.84294","20.86200","147.07","-42.99"
"mint.111","11.46349","12.46575","12.38076","12.40275","12.90994","13.24789","13.20256","13.09304","12.68528","12.28603","13.10625","12.24354","12.75625","14.11657","13.82507","13.11813","12.47370","12.43716","13.17918","12.87306","12.19803","12.30891","13.11271","13.22775","13.91851","14.00028","13.75528","13.08997","13.29587","12.50659","13.46317","13.06534","14.02055","13.18607","13.44575","13.30521","13.23425","13.26557","13.54121","14.13342","13.45918","13.44490","13.76226","13.85247","16.05252","146.28","-42.28"
