"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","lon","lat"
"mint.64","24.33750","24.90628","25.54795","24.74274","25.39973","25.59399","25.08795","24.96658","24.86986","24.68251","25.02055","25.36137","25.29945","25.10902","24.39014","24.70904","25.51863","24.82514","25.05836","24.87808","24.91973","25.02814","24.85534","25.42740","24.26356","25.08798","25.71836","25.85644","25.24082","25.94699","25.79644","25.51370","25.48000","24.96995","25.89699","24.82603","24.80630","25.08192","25.33178","25.75068","25.29507","25.86284","25.99425","25.69534","27.72715","153.13","-27.39"
"mint.65","25.64820","26.30168","27.57452","25.70648","27.69863","27.95718","27.39506","27.50508","26.36638","25.91378","26.88696","27.57535","27.51562","27.18072","25.99614","26.96336","28.31484","27.10962","28.19041","27.30525","27.44286","27.25742","27.85097","27.42445","27.27534","27.64630","28.23709","28.69973","27.51973","28.27568","28.68492","28.60192","27.71151","28.10962","28.73416","25.93747","26.71676","27.53661","28.44384","28.33649","27.77308","28.08033","29.41042","28.40904","31.13974","150.18","-26.66"
"mint.66","25.45848","25.73528","27.34913","25.86796","27.90364","28.22312","26.94932","27.23452","25.96017","26.16359","26.78457","27.11753","27.10665","27.04505","26.31534","26.84753","27.86501","26.98709","27.64944","27.43711","27.64124","27.20934","27.78094","27.35601","26.59861","27.25632","27.72680","29.02720","27.94222","27.87966","28.87765","28.82005","28.07218","27.06306","29.06417","25.75069","27.10358","27.43689","29.04822","28.79725","28.14740","27.91913","29.29368","29.11188","31.91000","148.59","-28.05"
"mint.67","26.95752","26.68743","27.92959","26.67151","29.13178","29.39262","28.12027","28.79863","27.66110","27.66940","28.40989","28.41370","27.88932","28.81448","27.50466","28.03589","29.44274","28.12678","28.65659","28.24548","28.81205","28.63552","27.91836","28.73260","28.28575","27.77514","28.70137","29.97890","29.25559","29.11913","30.04478","29.48082","28.66219","27.80632","29.63471","26.11973","27.79014","28.35219","30.30193","29.66000","29.48347","28.81295","30.67759","30.34503","32.34967","146.26","-26.41"
"mint.68","27.03346","27.42535","28.43206","27.77396","29.72342","30.12692","28.46438","29.60575","28.58192","28.47350","28.56099","28.99943","28.54740","29.23388","28.02259","28.58274","29.62767","28.37678","29.21068","28.97699","28.37507","29.03880","29.25412","28.93178","29.04613","28.13188","29.44972","30.58402","29.80783","29.19072","29.84359","30.10986","29.63009","28.74755","30.06921","26.97677","28.47493","29.53278","30.80716","30.24478","30.24411","29.34454","30.92548","30.75828","32.03178","143.82","-27.99"
"mint.69","25.53717","25.48597","27.93522","26.19715","27.89365","28.18994","27.16276","27.31468","26.38089","25.28867","26.20843","26.76667","26.08528","26.73618","25.10746","26.19022","26.81803","25.18983","26.51791","26.98740","25.95753","26.21940","26.49101","26.00220","26.36878","26.47650","27.18082","27.85014","26.86795","27.29918","27.62110","27.53753","27.46767","26.70574","27.63644","25.35589","26.53629","26.87632","28.55096","28.26082","27.01703","26.95000","28.12740","28.17720","31.85973","143.39","-31.52"
"mint.70","25.89281","26.08000","28.07033","26.43644","27.81346","28.86421","27.35568","28.07534","27.42630","26.27568","27.09452","27.19671","26.59699","27.47596","26.47973","27.55753","28.24438","26.61803","27.31836","27.66658","26.83452","27.45792","32.54058","28.39443","28.38182","27.59538","28.18260","29.02782","28.27720","28.55406","28.85385","28.51816","28.11425","27.88060","28.87309","25.93571","27.59479","27.88849","29.09096","28.87233","27.98683","27.88907","29.15342","29.16082","32.83113","142.06","-29.44"
"mint.71","23.72451","24.03333","25.57068","24.51178","25.97425","26.47678","25.30329","26.35534","24.60907","24.16885","25.09507","25.30000","25.18658","25.43973","24.75288","25.11808","26.26192","24.08033","25.48959","25.83534","25.16411","25.43306","26.20852","25.31096","25.71896","24.90438","26.12700","26.76904","25.88301","26.55151","26.73425","26.53973","26.37699","25.44286","26.36521","24.28986","25.55397","25.60301","26.71781","26.86768","25.77753","25.65710","27.16970","27.58904","30.90929","145.83","-31.48"
"mint.72","26.50951","26.31154","27.95753","26.40247","28.53085","28.58033","27.35655","28.46767","26.84274","26.81148","27.69258","27.72637","27.75675","27.66044","26.80247","27.47890","28.64329","26.90055","27.88630","27.95781","27.26603","27.46639","28.34266","27.23343","27.44209","27.17131","28.48671","29.37444","28.60147","28.14113","29.87508","28.94970","28.31500","27.23858","28.77901","26.96737","27.31726","27.74685","29.55750","28.88776","28.37712","28.14000","29.09000","29.47589","32.95099","145.95","-30.04"
"mint.73","21.33170","21.84341","23.09890","21.74160","23.48729","23.59780","22.99889","23.87507","22.46722","21.98389","22.20797","22.28247","22.41288","23.26694","22.15342","22.87945","23.42932","21.49423","22.57863","23.37390","22.07692","22.44918","23.83507","23.11918","23.14822","22.81393","23.50137","24.59233","23.70411","23.61530","24.04274","25.02575","24.50164","23.53115","24.62575","22.73205","23.53918","23.57623","24.69096","24.81178","23.89808","23.87562","25.10385","25.31644","29.10066","147.2","-33.94"
